"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"6:17:25.5415898 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\KernelBase.dll","SUCCESS","Image Base: 0x7ffe44dc0000, Image Size: 0x3b7000"
"6:17:25.5432778 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\shlwapi.dll","SUCCESS","Image Base: 0x7ffe45f60000, Image Size: 0x5e000"
"6:17:25.5435118 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\msvcrt.dll","SUCCESS","Image Base: 0x7ffe45570000, Image Size: 0xa7000"
"6:17:25.5438505 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\user32.dll","SUCCESS","Image Base: 0x7ffe45200000, Image Size: 0x1af000"
"6:17:25.5440887 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\win32u.dll","SUCCESS","Image Base: 0x7ffe44b30000, Image Size: 0x26000"
"6:17:25.5444493 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\gdi32.dll","SUCCESS","Image Base: 0x7ffe47460000, Image Size: 0x29000"
"6:17:25.5447160 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\gdi32full.dll","SUCCESS","Image Base: 0x7ffe44950000, Image Size: 0x118000"
"6:17:25.5448743 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\msvcp_win.dll","SUCCESS","Image Base: 0x7ffe44d20000, Image Size: 0x9a000"
"6:17:25.5450180 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\ucrtbase.dll","SUCCESS","Image Base: 0x7ffe44c00000, Image Size: 0x111000"
"6:17:25.5453164 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\shell32.dll","SUCCESS","Image Base: 0x7ffe456b0000, Image Size: 0x869000"
"6:17:25.5454996 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\ole32.dll","SUCCESS","Image Base: 0x7ffe46e60000, Image Size: 0x1a5000"
"6:17:25.5457209 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\combase.dll","SUCCESS","Image Base: 0x7ffe467b0000, Image Size: 0x38e000"
"6:17:25.5459302 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\rpcrt4.dll","SUCCESS","Image Base: 0x7ffe46ca0000, Image Size: 0x114000"
"6:17:25.5461363 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\advapi32.dll","SUCCESS","Image Base: 0x7ffe46540000, Image Size: 0xb2000"
"6:17:25.5462687 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\sechost.dll","SUCCESS","Image Base: 0x7ffe46600000, Image Size: 0xa8000"
"6:17:25.5464297 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\bcrypt.dll","SUCCESS","Image Base: 0x7ffe44b60000, Image Size: 0x28000"
"6:17:25.5467506 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\crypt32.dll","SUCCESS","Image Base: 0x7ffe447e0000, Image Size: 0x166000"
"6:17:25.5469890 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\comdlg32.dll","SUCCESS","Image Base: 0x7ffe46440000, Image Size: 0xff000"
"6:17:25.5472905 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\SHCore.dll","SUCCESS","Image Base: 0x7ffe47200000, Image Size: 0xf9000"
"6:17:25.5476356 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\oleaut32.dll","SUCCESS","Image Base: 0x7ffe46b40000, Image Size: 0xd7000"
"6:17:25.5481757 PM","Notepad.exe","7592","Load Image","C:\Windows\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.22621.3672_none_2713b9d173822955\comctl32.dll","SUCCESS","Image Base: 0x7ffe2b7a0000, Image Size: 0x293000"
"6:17:25.5484907 PM","Notepad.exe","7592","Load Image","C:\Windows\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.22621.3672_none_2713b9d173822955\comctl32.dll","SUCCESS","Image Base: 0x2314cae0000, Image Size: 0x293000"
"6:17:25.5502899 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\urlmon.dll","SUCCESS","Image Base: 0x7ffe37d90000, Image Size: 0x1f0000"
"6:17:25.5511017 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\propsys.dll","SUCCESS","Image Base: 0x7ffe40a50000, Image Size: 0x101000"
"6:17:25.5520419 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\icu.dll","SUCCESS","Image Base: 0x7ffe1fb80000, Image Size: 0x270000"
"6:17:25.5522259 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\winspool.drv","SUCCESS","Image Base: 0x7ffe2d460000, Image Size: 0xa7000"
"6:17:25.5526035 PM","Notepad.exe","7592","Load Image","C:\Program Files\WindowsApps\Microsoft.VCLibs.140.00.UWPDesktop_14.0.33728.0_x64__8wekyb3d8bbwe\msvcp140.dll","SUCCESS","Image Base: 0x7ffdffe00000, Image Size: 0x8d000"
"6:17:25.5528314 PM","Notepad.exe","7592","Load Image","C:\Program Files\WindowsApps\Microsoft.VCLibs.140.00.UWPDesktop_14.0.33728.0_x64__8wekyb3d8bbwe\msvcp140_atomic_wait.dll","SUCCESS","Image Base: 0x7ffe3b100000, Image Size: 0x14000"
"6:17:25.5535383 PM","Notepad.exe","7592","Load Image","C:\Program Files\WindowsApps\Microsoft.VCLibs.140.00.UWPDesktop_14.0.33728.0_x64__8wekyb3d8bbwe\vcruntime140_1.dll","SUCCESS","Image Base: 0x7ffe1e1f0000, Image Size: 0xc000"
"6:17:25.5536002 PM","Notepad.exe","7592","Load Image","C:\Program Files\WindowsApps\Microsoft.VCLibs.140.00.UWPDesktop_14.0.33728.0_x64__8wekyb3d8bbwe\vcruntime140.dll","SUCCESS","Image Base: 0x7ffdffe90000, Image Size: 0x1e000"
"6:17:25.5537928 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\dwmapi.dll","SUCCESS","Image Base: 0x7ffe41e90000, Image Size: 0x2b000"
"6:17:25.5543140 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\uxtheme.dll","SUCCESS","Image Base: 0x7ffe41be0000, Image Size: 0xb1000"
"6:17:25.5564800 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\iertutil.dll","SUCCESS","Image Base: 0x7ffe379f0000, Image Size: 0x2be000"
"6:17:25.5579362 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\netutils.dll","SUCCESS","Image Base: 0x7ffe43250000, Image Size: 0xc000"
"6:17:25.5581109 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\srvcli.dll","SUCCESS","Image Base: 0x7ffe379c0000, Image Size: 0x28000"
"6:17:25.5613061 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\imm32.dll","SUCCESS","Image Base: 0x7ffe46dc0000, Image Size: 0x31000"
"6:17:25.5683636 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\kernel.appcore.dll","SUCCESS","Image Base: 0x7ffe437f0000, Image Size: 0x18000"
"6:17:25.5687416 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\bcryptprimitives.dll","SUCCESS","Image Base: 0x7ffe45180000, Image Size: 0x7b000"
"6:17:25.5693262 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\clbcatq.dll","SUCCESS","Image Base: 0x7ffe470f0000, Image Size: 0xb0000"
"6:17:25.5704707 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\MrmCoreR.dll","SUCCESS","Image Base: 0x7ffe35e90000, Image Size: 0x116000"
"6:17:25.5716413 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\Windows.StateRepositoryClient.dll","SUCCESS","Image Base: 0x7ffe38c70000, Image Size: 0x3d000"
"6:17:25.5722757 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\Windows.StateRepositoryCore.dll","SUCCESS","Image Base: 0x7ffe38d60000, Image Size: 0x1a000"
"6:17:25.5898501 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\profapi.dll","SUCCESS","Image Base: 0x7ffe44710000, Image Size: 0x27000"
"6:17:25.5912980 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\AppXDeploymentClient.dll","SUCCESS","Image Base: 0x7ffe39690000, Image Size: 0x144000"
"6:17:25.5937275 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\Windows.UI.dll","SUCCESS","Image Base: 0x7ffe35080000, Image Size: 0x179000"
"6:17:25.5967177 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\BCP47mrm.dll","SUCCESS","Image Base: 0x7ffe34bf0000, Image Size: 0x32000"
"6:17:25.6047814 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\twinapi.appcore.dll","SUCCESS","Image Base: 0x7ffe3bdc0000, Image Size: 0x2a2000"
"6:17:25.6067268 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\WinTypes.dll","SUCCESS","Image Base: 0x7ffe425c0000, Image Size: 0x13f000"
"6:17:25.6143799 PM","Notepad.exe","7592","Load Image","C:\Program Files\WindowsApps\Microsoft.WindowsNotepad_11.2409.9.0_x64__8wekyb3d8bbwe\Notepad\NotepadXamlUI.dll","SUCCESS","Image Base: 0x7ffe0c2c0000, Image Size: 0x471000"
"6:17:25.6168902 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\DWrite.dll","SUCCESS","Image Base: 0x7ffe3e5a0000, Image Size: 0x273000"
"6:17:25.6177801 PM","Notepad.exe","7592","Load Image","C:\Program Files\WindowsApps\Microsoft.VCLibs.140.00_14.0.33519.0_x64__8wekyb3d8bbwe\msvcp140_app.dll","SUCCESS","Image Base: 0x7ffe259e0000, Image Size: 0x8c000"
"6:17:25.6178065 PM","Notepad.exe","7592","Load Image","C:\Program Files\WindowsApps\Microsoft.VCLibs.140.00_14.0.33519.0_x64__8wekyb3d8bbwe\vcruntime140_app.dll","SUCCESS","Image Base: 0x7ffe25ea0000, Image Size: 0x1d000"
"6:17:25.6178899 PM","Notepad.exe","7592","Load Image","C:\Program Files\WindowsApps\Microsoft.VCLibs.140.00_14.0.33519.0_x64__8wekyb3d8bbwe\vcruntime140_1_app.dll","SUCCESS","Image Base: 0x7ffe25ec0000, Image Size: 0xc000"
"6:17:25.6198880 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\Windows.UI.Xaml.dll","SUCCESS","Image Base: 0x7ffe33860000, Image Size: 0x1225000"
"6:17:25.6219774 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\powrprof.dll","SUCCESS","Image Base: 0x7ffe446c0000, Image Size: 0x4d000"
"6:17:25.6220350 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\ntmarta.dll","SUCCESS","Image Base: 0x7ffe43900000, Image Size: 0x34000"
"6:17:25.6232111 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\umpdc.dll","SUCCESS","Image Base: 0x7ffe446a0000, Image Size: 0x13000"
"6:17:25.6317525 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\OneCoreUAPCommonProxyStub.dll","SUCCESS","Image Base: 0x7ffe3b2f0000, Image Size: 0x62c000"
"6:17:25.6334658 PM","Notepad.exe","7592","Load Image","C:\Program Files\WindowsApps\Microsoft.WindowsNotepad_11.2409.9.0_x64__8wekyb3d8bbwe\Notepad\msptls.dll","SUCCESS","Image Base: 0x7ffe308e0000, Image Size: 0x1af000"
"6:17:25.6340523 PM","Notepad.exe","7592","Load Image","C:\Program Files\WindowsApps\Microsoft.WindowsNotepad_11.2409.9.0_x64__8wekyb3d8bbwe\Notepad\riched20.dll","SUCCESS","Image Base: 0x7ffe100b0000, Image Size: 0x33d000"
"6:17:25.6367326 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\oleacc.dll","SUCCESS","Image Base: 0x7ffe298c0000, Image Size: 0x69000"
"6:17:25.6393696 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\Windows.Storage.ApplicationData.dll","SUCCESS","Image Base: 0x7ffe260b0000, Image Size: 0x67000"
"6:17:25.6477026 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\windows.storage.dll","SUCCESS","Image Base: 0x7ffe42700000, Image Size: 0x8ff000"
"6:17:25.6642676 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\InputHost.dll","SUCCESS","Image Base: 0x7ffe32800000, Image Size: 0x213000"
"6:17:25.6654833 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\CoreMessaging.dll","SUCCESS","Image Base: 0x7ffe3ff50000, Image Size: 0x133000"
"6:17:25.6691851 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\cryptbase.dll","SUCCESS","Image Base: 0x7ffe43f80000, Image Size: 0xc000"
"6:17:25.6734287 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\msctf.dll","SUCCESS","Image Base: 0x7ffe47300000, Image Size: 0x160000"
"6:17:25.6791635 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\UiaManager.dll","SUCCESS","Image Base: 0x7ffe2e770000, Image Size: 0xf1000"
"6:17:25.6907260 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\WindowManagementAPI.dll","SUCCESS","Image Base: 0x7ffe3ce00000, Image Size: 0x1f7000"
"6:17:25.6991061 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\dxgi.dll","SUCCESS","Image Base: 0x7ffe41d80000, Image Size: 0xf7000"
"6:17:25.7003201 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\DXCore.dll","SUCCESS","Image Base: 0x7ffe41f10000, Image Size: 0x37000"
"6:17:25.7013398 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\ResourcePolicyClient.dll","SUCCESS","Image Base: 0x7ffe421b0000, Image Size: 0x15000"
"6:17:25.7042977 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\directxdatabasehelper.dll","SUCCESS","Image Base: 0x7ffe3dac0000, Image Size: 0x49000"
"6:17:25.7056869 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\dcomp.dll","SUCCESS","Image Base: 0x7ffe3faf0000, Image Size: 0x255000"
"6:17:25.7073690 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\d3d11.dll","SUCCESS","Image Base: 0x7ffe3ec10000, Image Size: 0x257000"
"6:17:25.7094129 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\d3d10warp.dll","SUCCESS","Image Base: 0x7ffe3c6e0000, Image Size: 0x713000"
"6:17:25.7105351 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\Windows.UI.Immersive.dll","SUCCESS","Image Base: 0x7ffe336e0000, Image Size: 0x175000"
"6:17:25.7149383 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\d2d1.dll","SUCCESS","Image Base: 0x7ffe3ee70000, Image Size: 0x5ee000"
"6:17:25.7164145 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\DataExchange.dll","SUCCESS","Image Base: 0x7ffe29860000, Image Size: 0x5e000"
"6:17:25.7192118 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\TextShaping.dll","SUCCESS","Image Base: 0x7ffe330e0000, Image Size: 0xb1000"
"6:17:25.7243309 PM","Notepad.exe","7592","Load Image","C:\Program Files\WindowsApps\Microsoft.UI.Xaml.2.8_8.2310.30001.0_x64__8wekyb3d8bbwe\Microsoft.UI.Xaml.dll","SUCCESS","Image Base: 0x7ffe10860000, Image Size: 0x5e3000"
"6:17:25.7407215 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\Windows.UI.Xaml.Controls.dll","SUCCESS","Image Base: 0x7ffe32a20000, Image Size: 0x410000"
"6:17:25.7426174 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\BCP47Langs.dll","SUCCESS","Image Base: 0x7ffe35250000, Image Size: 0x60000"
"6:17:25.7540244 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\Windows.ApplicationModel.dll","SUCCESS","Image Base: 0x7ffe2dae0000, Image Size: 0x100000"
"6:17:25.7641377 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\Windows.Globalization.dll","SUCCESS","Image Base: 0x7ffe33350000, Image Size: 0x1bb000"
"6:17:25.7674814 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\Windows.Globalization.Fontgroups.dll","SUCCESS","Image Base: 0x7ffe39c60000, Image Size: 0x15000"
"6:17:25.7691036 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\fontgroupsoverride.dll","SUCCESS","Image Base: 0x7ffe33340000, Image Size: 0xa000"
"6:17:25.7779794 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\Windows.Energy.dll","SUCCESS","Image Base: 0x7ffe25d00000, Image Size: 0x31000"
"6:17:25.7803267 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\Windows.Graphics.dll","SUCCESS","Image Base: 0x7ffe3a4f0000, Image Size: 0xa2000"
"6:17:25.7810059 PM","Notepad.exe","7592","Load Image","C:\Windows\System32\cfgmgr32.dll","SUCCESS","Image Base: 0x7ffe443e0000, Image Size: 0x4e000"
